province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Kalimantan Timur,Mar,3952.8,0.0,5134.1,0.0,0.0,3751.4,0.0,0
Kalimantan Timur,Apr,3830.8,0.0,3830.8,0.0,0.0,3751.4,0.0,0
Kalimantan Timur,Mei,3954.9,0.0,6011.5,0.0,0.0,5807.9,0.0,1
Kalimantan Timur,Jun,3826.7,0.0,5281.8,0.0,0.0,7263.1,0.0,1
Kalimantan Timur,Jul,3951.9,0.0,5541.2,0.0,0.0,8852.4,0.0,1
Kalimantan Timur,Agu,3951.5,0.0,4221.1,0.0,0.0,9122.0,0.0,1
Kalimantan Timur,Sep,3824.8,0.0,4498.3,0.0,0.0,9795.5,0.0,1
Kalimantan Timur,Okt,3951.5,0.0,4627.5,0.0,0.0,10471.5,0.0,1
Kalimantan Timur,Nov,3825.5,0.0,3393.8,0.0,0.0,10039.8,0.0,1
Kalimantan Timur,Des,3951.5,0.0,2215.4,0.0,0.0,8303.7,0.0,1
Kalimantan Utara,Jan,253.2,0.0,419.7,0.0,0.0,166.5,0.0,0
Kalimantan Utara,Feb,236.9,0.0,235.1,0.0,0.0,164.7,0.0,0
Kalimantan Utara,Mar,253.2,0.0,328.9,0.0,0.0,240.4,0.0,0
Kalimantan Utara,Apr,245.1,0.0,350.9,0.0,0.0,346.2,0.0,1
Kalimantan Utara,Mei,253.2,0.0,384.9,0.0,0.0,477.9,0.0,1
Kalimantan Utara,Jun,245.1,0.0,439.4,0.0,0.0,672.2,0.0,1
Kalimantan Utara,Jul,253.2,0.0,355.1,0.0,0.0,774.0,0.0,1
Kalimantan Utara,Agu,253.2,0.0,270.5,0.0,0.0,791.3,0.0,1
Kalimantan Utara,Sep,245.1,0.0,617.6,0.0,0.0,1163.8,0.0,1
Kalimantan Utara,Okt,253.2,0.0,89.4,0.0,0.0,1000.0,0.0,1
Kalimantan Utara,Nov,245.1,0.0,217.4,0.0,0.0,972.4,0.0,1
Kalimantan Utara,Des,253.2,0.0,142.0,0.0,0.0,861.1,0.0,1
Sulawesi Utara,Jan,16.6,0.0,27.4,0.0,0.0,10.9,0.0,0
Sulawesi Utara,Feb,18.4,0.0,18.3,0.0,0.0,10.7,0.0,0
Sulawesi Utara,Mar,16.6,0.0,21.5,0.0,0.0,15.7,0.0,0
Sulawesi Utara,Apr,18.5,0.0,18.5,0.0,0.0,15.7,0.0,0
Sulawesi Utara,Mei,16.6,0.0,25.2,0.0,0.0,24.3,0.0,1
Sulawesi Utara,Jun,17.5,0.0,24.2,0.0,0.0,30.9,0.0,1
Sulawesi Utara,Jul,18.6,0.0,26.0,0.0,0.0,38.4,0.0,1
Sulawesi Utara,Agu,18.6,0.0,19.8,0.0,0.0,39.7,0.0,1
Sulawesi Utara,Sep,16.5,0.0,27.9,0.0,0.0,51.1,0.0,1
Sulawesi Utara,Okt,18.6,0.0,21.7,0.0,0.0,54.2,0.0,1
Sulawesi Utara,Nov,21.5,0.0,19.1,0.0,0.0,51.8,0.0,1
Sulawesi Utara,Des,20.6,0.0,11.5,0.0,0.0,42.8,0.0,1
Sulawesi Tengah,Jan,13.4,6.7,22.2,0.0,0.0,15.5,0.0,1
Sulawesi Tengah,Feb,5.1,2.5,5.1,0.0,0.0,18.0,0.0,1
Sulawesi Tengah,Mar,5.7,2.8,7.4,0.0,0.0,22.5,0.0,1
Sulawesi Tengah,Apr,18.9,9.5,27.1,0.0,0.0,40.2,0.0,1
